Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Valence,Tempo,Duration_min,Views,Likes,Comments,Licensed,official_video,Stream,most_playedon,Total_popularity,Energy_level,Loudness_level,Tempo_level,Speechiness_level,Valence_level,Popularity_level
Sam Hunt,When Was It Over? (Feat. Sam Hunt),when was it over? (feat. Sam Hunt),single,62,45,-9.3,3,49,129,3.6,4713072,79895,1511,True,True,61571055,Spotify,66284127,Medium,Loud,Fast,Very Musical,Neutral,Very High
Sam Hunt,Make You Miss Me,Montevallo,album,61,47,-6.6,2,16,146,3.8,39733621,188964,2844,False,False,233221688,Spotify,272955309,Medium,Loud,Very Fast,Very Musical,Very Sad,Very High
Exo,Love Shot,LOVE SHOT– The 5th Album Repackage,album,68,67,-4.3,11,33,145,3.3,553619697,8613016,1197800,True,True,266528292,Youtube,820147989,High,Very Loud,Very Fast,Musical,Sad,Very High
Exo,Monster,EX'ACT,album,61,76,-4.3,5,54,150,3.7,427819325,5746373,1000021,True,True,184739334,Youtube,612558659,High,Very Loud,Very Fast,Very Musical,Neutral,Very High
Exo,The Eve,THE WAR - The 4th Album,album,63,70,-5.4,3,51,135,2.9,143211507,2312642,100031,True,True,131189438,Youtube,274400945,High,Loud,Very Fast,Very Musical,Neutral,Very High
Exo,Call Me Baby,EXODUS - The 2nd Album,album,69,88,-2.5,5,87,100,3.5,319363011,3752752,334270,True,True,128038595,Youtube,447401606,Very High,Very Loud,Medium,Very Musical,Very Happy,Very High
Exo,Growl,The 1st Album 'XOXO' (Repackage),album,68,81,-2.8,6,87,89,3.5,288468380,3017243,254274,True,True,95483907,Youtube,383952287,Very High,Very Loud,Slow,Very Musical,Very Happy,Very High
Exo,Ko Ko Bop,THE WAR - The 4th Album,album,74,85,-4.3,4,67,145,3.2,342655366,5163914,1058574,True,True,155856855,Youtube,498512221,Very High,Very Loud,Very Fast,Very Musical,Happy,Very High
Exo,Lotto,LOTTO - The 3rd Album Repackage,album,79,86,-3.2,3,70,99,3.2,182910497,2979870,230183,True,True,92625572,Youtube,275536069,Very High,Very Loud,Medium,Very Musical,Happy,Very High
Exo,Obsession,OBSESSION,album,70,72,-3.9,6,71,129,3.4,160643053,4693145,1714936,True,True,94049909,Youtube,254692962,High,Very Loud,Fast,Very Musical,Happy,Very High
Exo,Tempo,DON’T MESS UP MY TEMPO – The 5th Album,album,68,84,-4.4,10,51,115,3.7,225698998,4760999,1091235,True,True,123316802,Youtube,349015800,Very High,Very Loud,Fast,Musical,Neutral,Very High
Exo,Don'T Go,The 1st Album 'XOXO' (Repackage),album,57,90,-3.7,7,71,156,3.6,1409936,30475,626,False,False,38377808,Spotify,39787744,Very High,Very Loud,Very Fast,Very Musical,Happy,Very High
Nikhita Gandhi,Barbaadiyan,Shiddat,compilation,75,56,-8.6,4,56,126,3.8,99991088,928687,8200,True,True,59437798,Youtube,159428886,Medium,Loud,Fast,Very Musical,Neutral,Very High
Nikhita Gandhi,Qaafirana,Kedarnath,single,41,43,-9.0,4,20,169,5.7,1539846,24883,542,True,True,84300263,Spotify,85840109,Medium,Loud,Very Fast,Very Musical,Sad,Very High
Nikhita Gandhi,Kyaa Baat Haii 2.0,"Kyaa Baat Haii 2.0 (From ""Govinda Naam Mera"")",single,80,73,-4.3,15,42,93,2.9,67068369,635337,203752,True,True,8247116,Youtube,75315485,High,Very Loud,Medium,Musical,Neutral,Very High
Nikhita Gandhi,"Najaa (From ""Sooryavanshi"")","Najaa (From ""Sooryavanshi"")",single,78,72,-5.0,5,69,93,3.2,205262428,2543872,52677,True,True,60861713,Youtube,266124141,High,Very Loud,Medium,Very Musical,Happy,Very High
Nikhita Gandhi,"Munda Sona Hoon Main (From ""Shehzada"")","Munda Sona Hoon Main (From ""Shehzada"")",single,77,83,-4.9,5,91,130,3.8,29149171,461279,27522,True,True,2413032,Youtube,31562203,Very High,Very Loud,Very Fast,Very Musical,Very Happy,Very High
Nikhita Gandhi,Aise Kyun,Mismatched: Season 1 (Music from the Netflix Original Series),album,52,43,-9.7,3,29,172,4.4,8347508,157496,2160,True,True,16042097,Spotify,24389605,Medium,Loud,Very Fast,Very Musical,Sad,Very High
Nikhita Gandhi,"Burjkhalifa (From ""Laxmii"")","BurjKhalifa (From ""Laxmii"")",single,75,89,-3.6,18,58,106,3.1,333490752,2690778,19930,True,True,55380663,Youtube,388871415,Very High,Very Loud,Medium,Musical,Neutral,Very High
Nikhita Gandhi,Naach Meri Rani,Naach Meri Rani,single,67,48,-5.1,15,15,97,3.5,667866561,6068029,191156,True,True,56523022,Youtube,724389583,Medium,Loud,Medium,Musical,Very Sad,Very High
Nikhita Gandhi,Love Mashup 2019,Love Mashup 2019,single,60,51,-9.4,2,28,97,4.4,21605968,298017,3600,True,True,34948080,Spotify,56554048,Medium,Loud,Medium,Very Musical,Sad,Very High
Nikhita Gandhi,Oh Oh - The First Love Of Tamizh,Thangamagan (Original Motion Picture Soundtrack),single,59,58,-8.7,2,44,85,4.6,0,0,0,0,0,12127160,Spotify,12127160,Medium,Loud,Slow,Very Musical,Neutral,Very High
Masego,Tadow,Lady Lady,album,70,48,-6.4,6,31,121,5.0,9156875,273589,5527,False,True,347955195,Spotify,357112070,Medium,Loud,Fast,Very Musical,Sad,Very High
Masego,Mystery Lady,Studying Abroad: Extended Stay,album,74,49,-8.0,14,62,76,3.8,2158531,47927,1047,True,True,141369736,Spotify,143528267,Medium,Loud,Slow,Musical,Happy,Very High
Masego,Navajo,Navajo,single,56,59,-7.4,28,35,88,3.2,57953166,697192,8293,True,True,129227975,Spotify,187181141,Medium,Loud,Slow,Mixed,Sad,Very High
Masego,Say You Want Me,Say You Want Me,single,88,65,-5.9,13,50,112,3.3,1588929,28848,506,True,True,5540072,Spotify,7129001,High,Loud,Fast,Musical,Neutral,Very High
Masego,Good & Plenty - Remix,Good & Plenty (Remix),single,62,57,-6.5,10,36,135,3.4,582340,13149,359,False,False,31339272,Spotify,31921612,Medium,Loud,Very Fast,Musical,Sad,Very High
Masego,You Never Visit Me,You Never Visit Me,single,75,52,-6.2,28,53,80,3.8,273675,18711,640,True,True,2491388,Spotify,2765063,Medium,Loud,Slow,Mixed,Neutral,High
Masego,Casa Lopez,Casa Lopez,single,77,63,-7.2,17,55,138,4.1,58229,2139,85,True,True,999951,Spotify,1058180,High,Loud,Very Fast,Musical,Neutral,High
Masego,Yamz,Yamz,single,67,72,-6.4,4,59,77,4.1,3317765,74462,4264,True,True,8047594,Spotify,11365359,High,Loud,Slow,Very Musical,Neutral,Very High
Masego,Hate The Club (Feat. Masego),It Was Good Until It Wasn't,album,66,62,-4.8,5,49,105,4.6,9225500,59931,1159,True,True,26252052,Spotify,35477552,High,Very Loud,Medium,Very Musical,Neutral,Very High
Masego,Queen Tings,Lady Lady,album,81,46,-6.5,29,53,88,3.1,8484028,162630,4581,False,True,45013826,Spotify,53497854,Medium,Loud,Slow,Mixed,Neutral,Very High
Rainbow Kitten Surprise,It'S Called: Freefall,"How to: Friend, Love, Freefall",album,74,51,-6.4,5,28,97,2.5,25413046,358398,4504,True,True,163174498,Spotify,188587544,Medium,Loud,Medium,Very Musical,Sad,Very High
Rainbow Kitten Surprise,Cocaine Jesus,RKS,album,82,36,-7.5,4,15,119,3.8,9851168,89245,1242,False,True,118679968,Spotify,128531136,Low,Loud,Fast,Very Musical,Very Sad,Very High
Rainbow Kitten Surprise,Devil Like Me,Seven + Mary,album,67,63,-6.8,15,55,123,3.1,8412399,107596,1388,False,True,108925761,Spotify,117338160,High,Loud,Fast,Musical,Neutral,Very High
Rainbow Kitten Surprise,Painkillers,"How to: Friend, Love, Freefall",album,75,40,-11.5,3,8,114,3.6,2794513,25429,432,True,True,40477764,Spotify,43272277,Medium,Medium,Fast,Very Musical,Very Sad,Very High
Rainbow Kitten Surprise,First Class,Seven + Mary,album,55,33,-10.2,3,21,89,5.7,7764022,50209,857,False,True,70986570,Spotify,78750592,Low,Medium,Slow,Very Musical,Sad,Very High
Rainbow Kitten Surprise,All That And More (Sailboat),Seven + Mary,album,45,52,-9.2,14,38,83,2.9,90226,716,29,False,False,47304265,Spotify,47394491,Medium,Loud,Slow,Musical,Sad,Very High
